Main Topic,Subtopic Level 1,Subtopic Level 2,Details
"1. The Chain Rule","1.1 Composition of Functions Review","Definition of composite function: (f ∘ g)(x) = f(g(x))","Identifying the outer function f and inner function g"
"","","Notation: f(g(x)) vs. (f ∘ g)(x)","Domain of composite functions"
"","","Examples of compositions in various contexts","Decomposing functions into compositions"
"","1.2 Understanding the Need for Chain Rule","Why basic derivative rules fail for compositions","Examples where power rule alone is insufficient"
"","","Motivating example: d/dx[(x² + 1)³]","Understanding that derivative of composition ≠ composition of derivatives"
"","","Historical context and importance",""
"","1.3 Statement of the Chain Rule","If h(x) = f(g(x)), then h'(x) = f'(g(x)) · g'(x)","Leibniz notation: If y = f(u) and u = g(x), then dy/dx = (dy/du) · (du/dx)"
"","","Verbal form: 'derivative of outer function (evaluated at inner) times derivative of inner'","Alternative notation: (f ∘ g)'(x) = f'(g(x)) · g'(x)"
"","","Understanding each component of the formula",""
"","1.4 Intuitive Understanding of Chain Rule","Rate of change through a chain of dependencies","Units analysis to justify the rule"
"","","Example: dy/dx = (dy/du) · (du/dx) - units cancel appropriately","Geometric interpretation"
"","","Physical interpretation: related rates of change",""
"","1.5 Proof of the Chain Rule","Using limit definition (informal approach)","Understanding Δy/Δx = (Δy/Δu) · (Δu/Δx)"
"","","Taking the limit as Δx → 0","Careful treatment of the case when Δu = 0"
"","","Rigorous proof outline (conceptual)",""
"","1.6 Chain Rule in Leibniz Notation","dy/dx = (dy/du) · (du/dx)","Treating derivatives like fractions (heuristic)"
"","","When this notation is most useful","Cancellation interpretation"
"","","Multiple variable chains",""
"2. Applying Chain Rule: Basic Cases","2.1 Identifying Composite Functions","Recognizing when chain rule is needed","Distinguishing between product and composition"
"","","Finding the 'inside' and 'outside' functions","Practice with identification before differentiation"
"","","Common patterns to recognize",""
"","2.2 Chain Rule with Power Functions","General form: d/dx[u(x)]ⁿ = n[u(x)]^(n-1) · u'(x)","Examples: (x² + 1)⁵, (3x - 2)⁴, (x³ + 5x)²"
"","","Comparing to power rule alone","When inner function is linear vs. nonlinear"
"","","Simplification strategies",""
"","2.3 Step-by-Step Chain Rule Process","Step 1: Identify outer function f and inner function g","Step 2: Find derivative of outer function f'"
"","","Step 3: Evaluate f' at the inner function: f'(g(x))","Step 4: Find derivative of inner function g'(x)"
"","","Step 5: Multiply: f'(g(x)) · g'(x)","Step 6: Simplify if needed"
"","2.4 Simple Composition Examples","(2x + 3)¹⁰","√(x² + 1)"
"","","1/(x² - 4)","(x³ - 2x + 5)⁷"
"","","Building confidence with straightforward cases",""
"","2.5 Chain Rule with Polynomial Inner Functions","Inner function is polynomial","Outer function can be power, root, reciprocal"
"","","Multiple examples with varying complexity","Avoiding common errors"
"","","Simplification techniques",""
"3. Chain Rule with Trigonometric Functions","3.1 Chain Rule with sin and cos","d/dx[sin(u)] = cos(u) · u'","d/dx[cos(u)] = -sin(u) · u'"
"","","Examples: sin(x²), cos(3x), sin(x³ + 2x)","Remembering to multiply by derivative of inside"
"","","Multiple terms inside trig functions",""
"","3.2 Chain Rule with tan, cot, sec, csc","d/dx[tan(u)] = sec²(u) · u'","d/dx[cot(u)] = -csc²(u) · u'"
"","","d/dx[sec(u)] = sec(u)tan(u) · u'","d/dx[csc(u)] = -csc(u)cot(u) · u'"
"","","Examples with various inner functions","Sign awareness (negative derivatives)"
"","3.3 Trigonometric Compositions with Polynomials","sin(x²), cos(x³), tan(2x + 1)","Higher degree polynomials inside"
"","","Multiple terms: sin(x² + 3x - 5)","Simplification after differentiation"
"","","When to use trig identities",""
"","3.4 Nested Trigonometric Functions","sin(cos(x))","cos²(x) = [cos(x)]²"
"","","tan(sin(x))","Understanding the layers"
"","","Applying chain rule carefully to each layer",""
"","3.5 Powers of Trigonometric Functions","sin²(x), cos³(x), tan⁴(x)","Rewriting as [sin(x)]², [cos(x)]³, etc."
"","","Outer power function, inner trig function","d/dx[sin²(x)] = 2sin(x) · cos(x)"
"","","Relationship to double angle formulas",""
"4. Chain Rule with Exponential Functions","4.1 Chain Rule with e^u","d/dx[e^u] = e^u · u'","Examples: e^(x²), e^(3x), e^(x³+2x)"
"","","The exponential function remains in the derivative","Simplification strategies"
"","","Multiple terms in exponent",""
"","4.2 Exponential Functions with Polynomial Exponents","e^(ax+b) where a, b are constants","e^(x²), e^(x³), e^(-x²)"
"","","General polynomial in exponent","Rate of growth considerations"
"","","Applications to exponential models",""
"","4.3 Chain Rule with a^u (General Exponential)","d/dx[a^u] = a^u · ln(a) · u'","Examples: 2^(x²), 10^(3x), 5^(x+1)"
"","","Comparing to e^u case","When ln(a) = 1 (only when a = e)"
"","","Conversion to base e: a^x = e^(x·ln(a))",""
"","4.4 Exponential Functions with Trigonometric Arguments","e^(sin(x)), e^(cos(x)), e^(tan(x))","Combining chain rule applications"
"","","Multiple layers of composition","Simplification challenges"
"","","Applications in physics and engineering",""
"","4.5 Complex Exponential Compositions","e^(e^x), e^(x^(e)), e^(√x)","Multiple nested exponentials"
"","","Careful application of chain rule","When to leave in exponential form"
"","","Logarithmic differentiation as alternative",""
"5. Chain Rule with Logarithmic Functions","5.1 Chain Rule with ln(u)","d/dx[ln(u)] = (1/u) · u' = u'/u","Examples: ln(x²), ln(x³ + 1), ln(sin(x))"
"","","Domain considerations: u must be positive","Simplification using logarithm properties first"
"","","When to simplify before vs. after differentiation",""
"","5.2 Logarithms of Polynomials","ln(x² + 1), ln(x³ - 2x + 5)","Always positive polynomials in calculus problems"
"","","Derivative formula application","Simplifying rational expressions"
"","","Common errors to avoid",""
"","5.3 Logarithms of Products, Quotients, and Powers","Using log properties: ln(ab) = ln(a) + ln(b)","Using log properties: ln(a/b) = ln(a) - ln(b)"
"","","Using log properties: ln(a^n) = n·ln(a)","When to expand before differentiating"
"","","Comparing expanded vs. chain rule approaches",""
"","5.4 Chain Rule with log_a(u)","d/dx[log_a(u)] = (1/(u·ln(a))) · u'","Examples: log₂(x²), log₁₀(x + 1)"
"","","Converting to natural logarithm","Rare in practice but conceptually important"
"","","Relationship to ln(u) derivative",""
"","5.5 Logarithms with Trigonometric Arguments","ln(sin(x)), ln(cos(x)), ln(tan(x))","Domain restrictions: argument must be positive"
"","","Combining trigonometric and logarithmic derivatives","Simplification techniques"
"","","Applications",""
"","5.6 Logarithms of Absolute Values","d/dx[ln|u|] = u'/u (works for u ≠ 0)","Why absolute value extends domain"
"","","Examples: ln|x|, ln|x² - 4|","Piecewise analysis when needed"
"","","Integration connection (antiderivative of 1/u)",""
"6. Multiple Compositions and Nested Chain Rule","6.1 Understanding Multiple Layers","Functions with more than two levels of composition","Identifying each layer systematically"
"","","Working from outside to inside","Keeping track of each derivative"
"","","Organizational strategies",""
"","6.2 Three-Level Compositions","Examples: sin(e^(x²)), e^(sin(x²)), ln(cos(x²))","Step-by-step differentiation"
"","","Applying chain rule multiple times","Order of operations"
"","","Avoiding errors with parentheses",""
"","6.3 Four or More Levels","Examples: e^(sin(cos(x))), ln(e^(x²)+1)","When complexity becomes challenging"
"","","Systematic notation and organization","Breaking down into manageable steps"
"","","Checking work carefully",""
"","6.4 Nested Powers","(x² + 1)^((x³)^2), nested exponents","When to use logarithmic differentiation instead"
"","","Chain rule vs. other techniques","Simplification challenges"
"","","Practical limits of chain rule application",""
"","6.5 Strategy for Complex Compositions","Identify all layers first","Label each function and its derivative"
"","","Work methodically from outside in","Use clear notation with parentheses"
"","","Simplify step by step or at the end",""
"7. Combining Chain Rule with Other Rules","7.1 Chain Rule with Product Rule","When both rules needed: d/dx[f(g(x)) · h(x)]","Examples: x² · sin(x²), e^x · cos(x²)"
"","","Determining order of application","Organizing the work"
"","","Simplification strategies",""
"","7.2 Product of Two Compositions","d/dx[f(g(x)) · h(k(x))]","Examples: sin(x²) · cos(x³), e^(x²) · ln(x³)"
"","","Multiple chain rule applications","Product rule framework"
"","","Keeping track of all terms",""
"","7.3 Chain Rule with Quotient Rule","When both rules needed: d/dx[f(g(x)) / h(x)]","Examples: sin(x²)/x, e^x/cos(x²)"
"","","Order of operations","Simplification of complex fractions"
"","","Alternative: rewrite as product with negative exponent",""
"","7.4 Quotient of Two Compositions","d/dx[f(g(x)) / h(k(x))]","Examples: sin(x²)/cos(x³), e^(x²)/ln(x + 1)"
"","","Multiple layers of complexity","Systematic approach"
"","","When quotient rule vs. negative exponent is better",""
"","7.5 Chain Rule with Sum and Difference Rules","d/dx[f(g(x)) + h(k(x))]","Applying chain rule to each term separately"
"","","Examples: sin(x²) + cos(x³), e^(x²) - ln(x + 1)","Simplification of sums"
"","","Common factors",""
"","7.6 Complex Combinations","Multiple rules in single problem","Examples: x² · e^(sin(x)) / cos(x³)"
"","","Systematic breakdown","Planning before executing"
"","","Checking work at each step",""
"8. Implicit Differentiation","8.1 Explicit vs. Implicit Functions","Explicit form: y = f(x)","Implicit form: F(x, y) = 0 or equation relating x and y"
"","","Examples: x² + y² = 25 (circle), x³ + y³ = 6xy (folium)","When explicit form is impossible or impractical"
"","","Curves that aren't functions",""
"","8.2 The Concept of Implicit Differentiation","Treating y as an implicit function of x","y depends on x even if we can't solve for y"
"","","Differentiating both sides with respect to x","Using chain rule for terms involving y"
"","","Why this technique works",""
"","8.3 Key Principle: dy/dx Appears When Differentiating y","d/dx[y] = dy/dx (by definition)","d/dx[y²] = 2y · dy/dx (chain rule!)"
"","","d/dx[y³] = 3y² · dy/dx","d/dx[y^n] = n·y^(n-1) · dy/dx"
"","","Understanding that y is implicitly y(x)",""
"","8.4 Step-by-Step Process","Step 1: Differentiate both sides with respect to x","Step 2: Use chain rule for all terms containing y"
"","","Step 3: Collect all dy/dx terms on one side","Step 4: Factor out dy/dx"
"","","Step 5: Solve for dy/dx algebraically","Step 6: Simplify if possible (and if asked)"
"","8.5 Simple Implicit Differentiation Examples","Circles: x² + y² = r²","Ellipses: x²/a² + y²/b² = 1"
"","","Simple relationships: x² + y² = 1","Building confidence with straightforward equations"
"","","Verifying results when possible",""
"9. Implicit Differentiation Techniques","9.1 Differentiating Terms with Only x","d/dx[x²] = 2x (normal power rule)","d/dx[x³ + 5x] = 3x² + 5"
"","","These terms don't involve dy/dx","Standard derivative rules apply"
"","","No chain rule needed for pure x terms",""
"","9.2 Differentiating Terms with Only y","d/dx[y²] = 2y · dy/dx","d/dx[y³] = 3y² · dy/dx"
"","","d/dx[sin(y)] = cos(y) · dy/dx","d/dx[e^y] = e^y · dy/dx"
"","","Always multiply by dy/dx (chain rule)",""
"","9.3 Differentiating Products of x and y","d/dx[xy] = x · dy/dx + y · 1 (product rule!)","d/dx[x²y] = x² · dy/dx + y · 2x"
"","","d/dx[xy²] = x · 2y · dy/dx + y² · 1","d/dx[x³y²] = x³ · 2y · dy/dx + y² · 3x²"
"","","Combining product rule and chain rule",""
"","9.4 Differentiating Quotients Involving y","d/dx[y/x] using quotient rule","d/dx[x/y] using quotient rule (y in denominator)"
"","","d/dx[y²/x] and more complex quotients","Remembering chain rule for y terms in numerator/denominator"
"","","Simplification after differentiation",""
"","9.5 Differentiating Functions of y","d/dx[sin(y)] = cos(y) · dy/dx","d/dx[e^y] = e^y · dy/dx"
"","","d/dx[ln(y)] = (1/y) · dy/dx","d/dx[y^y] requires logarithmic differentiation"
"","","Any function composition with y needs chain rule",""
"","9.6 Collecting and Solving for dy/dx","Moving all dy/dx terms to left side","Moving all non-dy/dx terms to right side"
"","","Factoring out dy/dx","Dividing to isolate dy/dx"
"","","Final form: dy/dx = (expression in x and y)",""
"10. Applications of Implicit Differentiation","10.1 Finding Slopes of Tangent Lines","Finding dy/dx at a specific point (a, b)","Substituting x = a and y = b into dy/dx expression"
"","","Calculating numerical slope value","Equation of tangent line at that point"
"","","Verifying point is actually on the curve",""
"","10.2 Horizontal Tangent Lines","Occur when dy/dx = 0","Setting numerator of dy/dx equal to zero"
"","","Solving for x and y coordinates","Finding all points with horizontal tangents"
"","","Connection to extrema",""
"","10.3 Vertical Tangent Lines","Occur when dy/dx is undefined","Setting denominator of dy/dx equal to zero"
"","","Solving for x and y coordinates","Finding all points with vertical tangents"
"","","Understanding geometric meaning",""
"","10.4 Equations of Tangent and Normal Lines","Using point-slope form with implicit derivative","Tangent line: y - y₀ = m(x - x₀) where m = dy/dx"
"","","Normal line: perpendicular to tangent","Normal line slope: -1/(dy/dx)"
"","","Applications to curves",""
"","10.5 Finding Second Derivatives Implicitly","d²y/dx² from implicit equations","Differentiating dy/dx expression (which contains x and y)"
"","","Using chain rule again for y terms","Substituting dy/dx back into expression"
"","","Expressing d²y/dx² in terms of x and y",""
"","10.6 Concavity from Implicit Differentiation","Using d²y/dx² to determine concavity","Concave up where d²y/dx² > 0"
"","","Concave down where d²y/dx² < 0","Inflection points where d²y/dx² = 0 or undefined"
"","","Analysis on implicitly defined curves",""
"11. Special Cases in Implicit Differentiation","11.1 Equations with Multiple y Terms","x² + y² + xy = 10","2x²y + y³ = x + y"
"","","Applying differentiation carefully to each term","Collecting all dy/dx terms"
"","","Factoring and solving",""
"","11.2 Higher Powers of y","y³, y⁴, y⁵, etc.","d/dx[y^n] = n·y^(n-1) · dy/dx"
"","","Examples: x² + y³ = 8","Algebraic complexity in solving for dy/dx"
"","","Simplification strategies",""
"","11.3 Transcendental Functions of y","sin(y), cos(y), e^y, ln(y), etc.","Equations like x² + sin(y) = 1"
"","","x·e^y + y² = 5","Combining transcendental derivatives with chain rule"
"","","More complex dy/dx expressions",""
"","11.4 Equations Not Solvable for y","y⁵ + y = x","x³ + y³ = 3xy (folium of Descartes)"
"","","Why implicit differentiation is essential","Cannot express y explicitly as function of x"
"","","Implicit derivative is the only option",""
"","11.5 Rational Functions Implicitly Defined","(x² + y²)/(xy) = k","Equations with fractions involving both x and y"
"","","Using quotient rule in implicit differentiation","Algebraic complexity"
"","","Simplification techniques",""
"12. Derivatives of Inverse Functions","12.1 Inverse Function Basics Review","Definition: f⁻¹(f(x)) = x and f(f⁻¹(x)) = x","Graphical relationship: reflection over y = x"
"","","When inverse functions exist (one-to-one requirement)","Notation: f⁻¹(x) vs. 1/f(x)"
"","","Domain and range relationships",""
"","12.2 Inverse Function Theorem","If f is differentiable and f'(a) ≠ 0, then f⁻¹ is differentiable at b = f(a)","Formula: (f⁻¹)'(b) = 1/f'(a) where b = f(a)"
"","","Alternative form: (f⁻¹)'(f(a)) = 1/f'(a)","Leibniz notation: If y = f(x), then dx/dy = 1/(dy/dx)"
"","","Geometric interpretation: reciprocal slopes",""
"","12.3 Deriving the Inverse Function Derivative Formula","Starting with f⁻¹(f(x)) = x","Differentiating both sides using chain rule"
"","","(f⁻¹)'(f(x)) · f'(x) = 1","Solving for (f⁻¹)'(f(x))"
"","","Understanding why slopes are reciprocals",""
"","12.4 Finding Derivative of Inverse at a Point","Given f(a) = b and f'(a), find (f⁻¹)'(b)","Using the formula: (f⁻¹)'(b) = 1/f'(a)"
"","","Examples with specific numerical values","Graphical verification"
"","","Common applications",""
"","12.5 Finding Function Form of Inverse Derivative","When f⁻¹(x) can be found explicitly","Differentiating f⁻¹(x) directly"
"","","Comparing to inverse function theorem result","Verification that methods give same answer"
"","","When each method is more efficient",""
"13. Derivatives of Inverse Trig Functions","13.1 Derivative of arcsin(x)","Formula: d/dx[arcsin(x)] = 1/√(1 - x²)","Domain: -1 < x < 1"
"","","Derivation using implicit differentiation: y = arcsin(x) → sin(y) = x","Differentiate: cos(y)·dy/dx = 1"
"","","Solve: dy/dx = 1/cos(y) = 1/√(1-sin²(y)) = 1/√(1-x²)","Geometric interpretation using right triangle"
"","13.2 Derivative of arccos(x)","Formula: d/dx[arccos(x)] = -1/√(1 - x²)","Domain: -1 < x < 1"
"","","Derivation using implicit differentiation: y = arccos(x) → cos(y) = x","Note the negative sign"
"","","Relationship to arcsin derivative: d/dx[arccos(x)] = -d/dx[arcsin(x)]","Complementary angle relationship"
"","13.3 Derivative of arctan(x)","Formula: d/dx[arctan(x)] = 1/(1 + x²)","Domain: all real numbers"
"","","Derivation using implicit differentiation: y = arctan(x) → tan(y) = x","Differentiate: sec²(y)·dy/dx = 1"
"","","Solve: dy/dx = 1/sec²(y) = cos²(y) = 1/(1+tan²(y)) = 1/(1+x²)","Most commonly used inverse trig derivative"
"","13.4 Derivative of arccot(x)","Formula: d/dx[arccot(x)] = -1/(1 + x²)","Domain: all real numbers"
"","","Derivation using implicit differentiation","Note the negative sign"
"","","Relationship to arctan derivative","Less commonly used"
"","13.5 Derivative of arcsec(x)","Formula: d/dx[arcsec(x)] = 1/(|x|√(x² - 1))","Domain: |x| > 1"
"","","Derivation using implicit differentiation","Absolute value in denominator"
"","","Complex formula, rarely needed","Alternative forms exist"
"","13.6 Derivative of arccsc(x)","Formula: d/dx[arccsc(x)] = -1/(|x|√(x² - 1))","Domain: |x| > 1"
"","","Derivation using implicit differentiation","Note the negative sign"
"","","Least commonly encountered","Connection to arcsec derivative"
"","13.7 Summary and Patterns","Cofunctions have negative derivatives","Memorization strategies for formulas"
"","","When these appear in problems","Connection to integration formulas (antiderivatives)"
"","","Trigonometric substitution preview",""
"","13.8 Verifying Inverse Trig Derivatives","Using implicit differentiation to verify","Checking specific numerical values"
"","","Graphical verification","Understanding domain restrictions"
"","","Building confidence with formulas",""
"14. Chain Rule with Inverse Trig Functions","14.1 Chain Rule Applied to arcsin(u)","d/dx[arcsin(u)] = (1/√(1-u²)) · u'","Examples: arcsin(x²), arcsin(2x), arcsin(x³ + 1)"
"","","Domain considerations for u","When -1 < u < 1"
"","","Simplification techniques",""
"","14.2 Chain Rule Applied to arccos(u)","d/dx[arccos(u)] = (-1/√(1-u²)) · u'","Examples: arccos(x²), arccos(3x)"
"","","Remembering the negative sign","Domain constraints"
"","","Applications",""
"","14.3 Chain Rule Applied to arctan(u)","d/dx[arctan(u)] = (1/(1+u²)) · u'","Examples: arctan(x²), arctan(e^x), arctan(ln(x))"
"","","No domain restrictions (works for all u)","Most versatile inverse trig function"
"","","Common in integration problems",""
"","14.4 Complex Compositions with Inverse Trig","arcsin(sin(x)), arctan(tan(x))","sin(arcsin(x)), tan(arctan(x))"
"","","Understanding simplifications","Domain and range considerations"
"","","When composition simplifies vs. when it doesn't",""
"","14.5 Inverse Trig in Application Problems","Angles of elevation/depression","Optimization problems involving angles"
"","","Physics applications","Related rates with inverse trig (Unit 4 connection)"
"","","Real-world modeling",""
"15. Logarithmic Differentiation","15.1 When to Use Logarithmic Differentiation","Products with many factors","Quotients with many factors"
"","","Variable in both base and exponent: x^x, x^(sin(x))","Messy products/quotients that would be ugly with product/quotient rule"
"","","Simplifying before differentiating",""
"","15.2 Process of Logarithmic Differentiation","Step 1: Take natural log of both sides: ln(y) = ln(f(x))","Step 2: Use logarithm properties to expand right side"
"","","Step 3: Differentiate both sides with respect to x","Step 4: Left side gives (1/y)·(dy/dx) by chain rule"
"","","Step 5: Multiply both sides by y","Step 6: Substitute y = f(x) back in if needed"
"","15.3 Logarithmic Differentiation for Products","y = f(x)·g(x)·h(x)","ln(y) = ln(f) + ln(g) + ln(h)"
"","","Differentiate: (1/y)·y' = f'/f + g'/g + h'/h","Solve: y' = y·[f'/f + g'/g + h'/h]"
"","","Substitute y back in","Comparing to repeated product rule"
"","15.4 Logarithmic Differentiation for Quotients","y = f(x)/g(x) or more complex quotients","ln(y) = ln(f) - ln(g)"
"","","Differentiate and solve","Comparing to quotient rule"
"","","When logarithmic method is more efficient",""
"","15.5 Variable Base and Exponent: x^x","y = x^x","ln(y) = x·ln(x)"
"","","Differentiate: (1/y)·y' = 1·ln(x) + x·(1/x) = ln(x) + 1","Solve: y' = y·[ln(x) + 1] = x^x·[ln(x) + 1]"
"","","Cannot use power rule or exponential rule alone","Classic logarithmic differentiation example"
"","15.6 Variable Base and Exponent: General Forms","y = [f(x)]^[g(x)]","Examples: y = (sin(x))^x, y = x^(cos(x)), y = (x²+1)^(ln(x))"
"","","Taking ln: ln(y) = g(x)·ln(f(x))","Using product rule on right side after ln"
"","","General formula emerges","Applications"
"","15.7 Simplifying Complex Expressions","y = (x²·√(x+1))/(x³-1)","Using log properties before differentiating"
"","","ln(y) = 2ln(x) + (1/2)ln(x+1) - ln(x³-1)","Differentiating term by term"
"","","Advantage over product/quotient rules","When this method saves time"
"","15.8 Logarithmic Differentiation Strategy","Recognizing when it's the best approach","Alternative methods comparison"
"","","Deciding between logarithmic and traditional","Efficiency considerations"
"","","Practice with choosing methods",""
"16. Derivatives with e and ln in Complex Ways","16.1 Compositions of e and ln","e^(ln(x)) = x, so derivative is 1","ln(e^x) = x, so derivative is 1"
"","","Understanding simplifications before differentiating","When compositions cancel"
"","","e^(ln(f(x))) = f(x)",""
"","16.2 Functions of Form x^n where n is a function","y = x^(f(x))","Example: x^(x²), x^(sin(x))"
"","","Requiring logarithmic differentiation","Cannot use power rule (exponent varies)"
"","","Cannot use exponential rule (base varies)",""
"","16.3 Nested Exponentials and Logarithms","e^(e^x), ln(ln(x))","e^(x^x), (e^x)^x"
"","","Multiple applications of chain rule","Careful with order of operations"
"","","Simplification strategies",""
"","16.4 Combinations Requiring Multiple Techniques","Products of exponentials and logs","Quotients involving e and ln"
"","","When to use product/quotient rule vs. logarithmic differentiation","Complex examples from exams"
"","","Problem-solving strategies",""
"17. Parametric Equations and Derivatives","17.1 Introduction to Parametric Equations","Definition: x = f(t), y = g(t)","Parameter t (often time)"
"","","Eliminating parameter to find Cartesian equation","Why parametric form is useful"
"","","Examples: circles, ellipses, cycloids",""
"","17.2 Derivative dy/dx in Parametric Form","Formula: dy/dx = (dy/dt)/(dx/dt)","Derivation from chain rule"
"","","Understanding dy/dt and dx/dt separately","When dx/dt ≠ 0"
"","","Interpretation: rate of change of y with respect to x",""
"","17.3 Finding dy/dx from Parametric Equations","Step 1: Find dy/dt","Step 2: Find dx/dt"
"","","Step 3: Divide: dy/dx = (dy/dt)/(dx/dt)","Examples with various functions"
"","","Simplification of quotient",""
"","17.4 Tangent Lines to Parametric Curves","Finding slope at t = t₀","Finding point (x(t₀), y(t₀))"
"","","Equation of tangent line","Horizontal tangents: dy/dt = 0 (and dx/dt ≠ 0)"
"","","Vertical tangents: dx/dt = 0 (and dy/dt ≠ 0)",""
"","17.5 Second Derivative d²y/dx² in Parametric Form","Formula: d²y/dx² = [d/dt(dy/dx)]/(dx/dt)","Step 1: Find dy/dx = (dy/dt)/(dx/dt)"
"","","Step 2: Differentiate dy/dx with respect to t","Step 3: Divide by dx/dt"
"","","Using for concavity analysis","Complexity of calculations"
"","17.6 Applications of Parametric Derivatives","Velocity and acceleration vectors","Projectile motion"
"","","Particle motion in plane","Cycloids and other curves"
"","","Connection to vector calculus",""
"18. Advanced Implicit Differentiation Applications","18.1 Related Rates Introduction (Conceptual)","Implicit differentiation with respect to time","Multiple variables changing with time"
"","","Connection to Unit 4 applications","dy/dt and dx/dt as related rates"
"","","Setting up equations",""
"","18.2 Proving Derivative Formulas","Using implicit differentiation to prove known formulas","Deriving inverse function derivatives"
"","","Deriving inverse trig derivatives","Understanding where formulas come from"
"","","Building deeper understanding",""
"","18.3 Orthogonal Curves","Curves that intersect at right angles","Slopes are negative reciprocals at intersection"
"","","Finding families of orthogonal curves","Applications in physics (electric and magnetic fields)"
"","","Differential equations preview",""
"","18.4 Implicit Differentiation in 3D (Conceptual)","Surfaces defined by F(x,y,z) = 0","Partial derivatives preview"
"","","Multivariable calculus connection","Tangent planes to surfaces"
"","","Beyond AP Calculus BC scope (awareness only)",""
"19. Higher-Order Derivatives with Chain Rule","19.1 Second Derivatives of Compositions","Finding f''(x) when f is a composition","Applying product rule to f'(x) from chain rule"
"","","Examples: second derivative of sin(x²)","Complexity increase"
"","","Organization strategies",""
"","19.2 Product and Quotient of Compositions","Second derivatives of products involving compositions","Second derivatives of quotients involving compositions"
"","","Multiple rules combined repeatedly","Simplification challenges"
"","","When to stop simplifying",""
"","19.3 Higher-Order Derivatives Implicitly","Finding d²y/dx², d³y/dx³ from implicit equations","Recursive application of implicit differentiation"
"","","Substituting previous derivatives","Expressing in terms of x and y"
"","","Theoretical importance",""
"20. Hyperbolic Functions (if covered)","20.1 Hyperbolic Function Definitions","sinh(x) = (e^x - e^(-x))/2","cosh(x) = (e^x + e^(-x))/2"
"","","tanh(x) = sinh(x)/cosh(x)","Other hyperbolic functions"
"","","Relationship to exponentials",""
"","20.2 Derivatives of Hyperbolic Functions","d/dx[sinh(x)] = cosh(x)","d/dx[cosh(x)] = sinh(x)"
"","","d/dx[tanh(x)] = sech²(x)","Patterns similar to trig functions (but signs differ)"
"","","Memorization strategies",""
"","20.3 Chain Rule with Hyperbolic Functions","d/dx[sinh(u)] = cosh(u)·u'","Examples with various inner functions"
"","","Applications (catenary curve, etc.)","Less common in AP Calculus BC"
"","","Connection to complex numbers (advanced)",""
"21. Problem-Solving Strategies for Unit 3","21.1 Identifying Which Technique to Use","Chain rule indicators: composition of functions","Implicit differentiation: equation relating x and y"
"","","Logarithmic differentiation: products, quotients, variable exponents","Inverse functions: finding derivatives of inverses"
"","","Decision tree for method selection",""
"","21.2 Common Errors and How to Avoid Them","Forgetting to apply chain rule","Forgetting dy/dx in implicit differentiation"
"","","Sign errors (especially with inverse trig and trig derivatives)","Incorrectly identifying inner/outer functions"
"","","Algebraic errors in solving for dy/dx",""
"","21.3 Systematic Approach to Complex Problems","Read problem carefully","Identify all techniques needed"
"","","Plan order of operations","Execute step-by-step with clear notation"
"","","Check answer for reasonableness","Verify with specific values if possible"
"","21.4 Organizing Work Clearly","Using proper notation throughout","Showing all steps, especially for chain rule"
"","","Clear substitution and simplification","Labeling intermediate results"
"","","Final answer clearly indicated",""
"","21.5 Checking Your Work","Dimensional analysis (units make sense)","Special cases (e.g., x = 0, x = 1)"
"","","Graphical verification when possible","Plugging into original equation (implicit)"
"","","Alternative methods to verify",""
"22. Unit 3 Skills Summary","22.1 Core Skills from Unit 3","Apply chain rule to all function types","Perform implicit differentiation"
"","","Find derivatives of inverse functions","Use logarithmic differentiation"
"","","Differentiate parametric equations","Find derivatives of inverse trig functions"
"","","Combine multiple differentiation techniques",""
"","22.2 Conceptual Understanding Goals","Why chain rule is necessary","How implicit differentiation works"
"","","Relationship between function and inverse derivatives","When to use which technique"
"","","Connection between different methods",""
"","22.3 Preparation for Unit 4","Related rates (implicit + chain rule)","Optimization (finding critical points)"
"","","Applied problems requiring all techniques","Complex modeling situations"
"","","Building problem-solving toolkit",""
"","22.4 Connection to AP Exam","Chain rule appears throughout exam","Implicit differentiation common in FRQ"
"","","Inverse trig derivatives in integration","Parametric equations in BC-specific questions"
"","","Multiple techniques in single problem",""
